,Nome,Código,Setor econômico,Subsetor,Segmento
0,3R PETROLEUM,RRRP,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
1,COSAN       ,CSAN,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
2,DOMMO,DMMO,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
3,ENAUTA PART,ENAT,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
4,PET MANGUINH,RPMG,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
5,PETROBRAS   ,PETR,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
6,PETROBRAS BR,BRDT,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
7,PETRORIO,PRIO,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
8,ULTRAPAR    ,UGPA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
9,LUPATECH    ,LUPA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
10,OSX BRASIL  ,OSXB,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
11,BRADESPAR   ,BRAP,Materiais Básicos,Mineração,Minerais Metálicos
12,LITEL       ,LTEL,Materiais Básicos,Mineração,Minerais Metálicos
13,LITELA,LTLA,Materiais Básicos,Mineração,Minerais Metálicos
14,MMX MINER   ,MMXM,Materiais Básicos,Mineração,Minerais Metálicos
15,VALE        ,VALE,Materiais Básicos,Mineração,Minerais Metálicos
16,FERBASA     ,FESA,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
17,GERDAU      ,GGBR,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
18,GERDAU MET  ,GOAU,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
19,SID NACIONAL,CSNA,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
20,USIMINAS    ,USIM,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
21,MANGELS INDL,MGEL,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
22,PANATLANTICA,PATI,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
23,TEKNO       ,TKNO,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
24,PARANAPANEMA,PMAM,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Cobre
25,BRASKEM     ,BRKM,Materiais Básicos,Químicos,Petroquímicos
26,GPC PART    ,GPCP,Materiais Básicos,Químicos,Petroquímicos
27,FER HERINGER,FHER,Materiais Básicos,Químicos,Fertilizantes e Defensivos
28,NUTRIPLANT  ,NUTR,Materiais Básicos,Químicos,Fertilizantes e Defensivos
29,CRISTAL,CRPG,Materiais Básicos,Químicos,Químicos Diversos
30,UNIPAR      ,UNIP,Materiais Básicos,Químicos,Químicos Diversos
31,DURATEX     ,DTEX,Materiais Básicos,Madeira e Papel,Madeira
32,EUCATEX     ,EUCA,Materiais Básicos,Madeira e Papel,Madeira
33,IRANI ,RANI,Materiais Básicos,Madeira e Papel,Papel e Celulose
34,KLABIN S/A  ,KLBN,Materiais Básicos,Madeira e Papel,Papel e Celulose
35,MELHOR SP   ,MSPA,Materiais Básicos,Madeira e Papel,Papel e Celulose
36,SANTHER     ,STTZ,Materiais Básicos,Madeira e Papel,Papel e Celulose
37,SUZANO HOLD ,NEMO,Materiais Básicos,Madeira e Papel,Papel e Celulose
38,SUZANO S.A.,SUZB,Materiais Básicos,Madeira e Papel,Papel e Celulose
39,METAL IGUACU,MTIG,Materiais Básicos,Embalagens,Embalagens
40,SANSUY      ,SNSY,Materiais Básicos,Materiais Diversos,Materiais Diversos
41,ETERNIT     ,ETER,Bens Industriais,Construção e Engenharia,Produtos para Construção
42,HAGA S/A    ,HAGA,Bens Industriais,Construção e Engenharia,Produtos para Construção
43,PORTOBELLO  ,PTBL,Bens Industriais,Construção e Engenharia,Produtos para Construção
44,AZEVEDO     ,AZEV,Bens Industriais,Construção e Engenharia,Construção Pesada
45,SONDOTECNICA,SOND,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
46,TECNOSOLO   ,TCNO,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
47,MILLS       ,MILS,Bens Industriais,Construção e Engenharia,Serviços Diversos
48,EMBRAER     ,EMBR,Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa
49,FRAS-LE     ,FRAS,Bens Industriais,Material de Transporte,Material Rodoviário
50,MARCOPOLO   ,POMO,Bens Industriais,Material de Transporte,Material Rodoviário
51,RANDON PART ,RAPT,Bens Industriais,Material de Transporte,Material Rodoviário
52,RECRUSUL    ,RCSL,Bens Industriais,Material de Transporte,Material Rodoviário
53,RIOSULENSE  ,RSUL,Bens Industriais,Material de Transporte,Material Rodoviário
54,TUPY        ,TUPY,Bens Industriais,Material de Transporte,Material Rodoviário
55,WETZEL S/A  ,MWET,Bens Industriais,Material de Transporte,Material Rodoviário
56,SCHULZ      ,SHUL,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros"
57,WEG         ,WEGE,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros"
58,ACO ALTONA  ,EALT,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
59,AERIS,AERI,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
60,BARDELLA    ,BDLL,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
61,INDS ROMI   ,ROMI,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
62,INEPAR      ,INEP,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
63,KEPLER WEBER,KEPL,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
64,METALFRIO   ,FRIO,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
65,NORDON MET  ,NORD,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
66,PRATICA,PTCA,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
67,METISA      ,MTSA,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas
