,Nome,Código,Setor econômico,Subsetor,Segmento,EBIT/ativo,EBIT12M,EBIT3M,EV/EBIT,EV/EBITDA ,LPA,P/Ativos,P/EBIT,P/L,P/VP,P/ativcircLiq,P/capGiro,PSR,ROE,ROIC,VPA,ativo,ativoCirc,cresRec5A,disponib,divBr/patrim,divBruta,divLiq,divYield,giroAtivos,liquidCorr,lucroLiq12M,lucroLiq3M,margBruta,margEBIT,margLiq,max1ano,min1ano,numacs,osc12M,osc2016,osc2017,osc2018,osc2019,osc2020,osc2021,osc30D,oscDia,oscMes,patrimLiq,preço,recLiq12M,recLiq3M,valorFirma,valorMercado
0,3R PETROLEUM,RRRP3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",0.0,0.0,-272.0,,,0.0,9.7,,0.0,17.8,-25.08,160.68,,,,1.99,400857000.0,27473000.0,,18336000.0,,0.0,-18336000.0,0.0,,8.38,0.0,-12749000.0,,,,37.67,20.69,109504000.0,0.708,0.0,0.0,0.0,0.0,0.789,-0.046,0.048,-0.003,-0.046,218364000.0,35.5,0.0,10304000.0,3869070000.0,3887400000.0
1,COSAN       ,CSAN3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",0.053,1902040000.0,618022000.0,22.9,17.4,2.6,0.88,16.74,31.09,2.99,-2.44,5.58,2.45,0.096,0.064,27.04,36100800000.0,11743200000.0,0.169,4845150000.0,1.55,16562400000.0,11717300000.0,0.019,0.36,1.95,1024250000.0,303839000.0,0.296,0.146,0.081,90.4,45.04,394210000.0,0.037,0.705,0.116,-0.171,1.125,0.112,0.067,0.061,-0.019,0.067,10659700000.0,80.77,13014300000.0,3714920000.0,43557600000.0,31840300000.0
2,DOMMO,DMMO3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",-0.35,-123101000.0,-27547000.0,-2.28,-4.45,-1.34,0.96,-2.75,-0.82,-0.39,-0.33,-1.24,0.91,0.475,-1.131,-2.82,352100000.0,191655000.0,0.115,63732000.0,-0.01,5235000.0,-58497000.0,0.0,1.05,0.41,-412166000.0,185553000.0,-0.14,-0.332,-1.112,2.29,0.47,307949000.0,-0.523,-0.669,-0.531,-0.058,-0.701,-0.519,-0.209,-0.236,-0.026,-0.209,-867569000.0,1.1,370645000.0,99587000.0,280247000.0,338744000.0
3,ENAUTA PART,ENAT3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",0.07,321160000.0,73717000.0,5.03,1.92,1.3,0.68,9.76,9.05,1.07,8.7,2.14,2.69,0.118,0.119,11.04,4579040000.0,2003430000.0,0.277,1742280000.0,0.08,224381000.0,-1517900000.0,0.097,0.25,3.72,346140000.0,39407000.0,0.334,0.276,0.298,16.33,5.67,265807000.0,-0.276,-0.01,1.07,-0.002,0.947,-0.159,-0.005,0.058,-0.028,-0.005,2935820000.0,11.79,1162900000.0,224461000.0,1615960000.0,3133860000.0
4,PET MANGUINH,RPMG3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",0.0,0.0,-76542000.0,,,0.0,0.07,,0.0,-0.06,-0.06,-0.07,,,,-45.46,2990940000.0,2761940000.0,0.121,19.0,,0.0,-19.0,0.0,,0.5,0.0,-106412000.0,,,,5.53,2.05,67692000.0,-0.462,0.897,0.096,-0.621,0.712,-0.449,0.039,0.014,0.007,0.039,-3076960000.0,2.93,0.0,432339000.0,198319000.0,198338000.0
5,PET MANGUINH,RPMG4,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",0.0,0.0,-76542000.0,,,0.0,0.01,,0.0,-0.01,-0.01,-0.01,,,,-45.46,2990940000.0,2761940000.0,0.121,19.0,,0.0,-19.0,0.0,,0.5,0.0,-106412000.0,,,,0.0,0.0,67692000.0,0.0,-0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3076960000.0,0.26,0.0,432339000.0,17580900.0,17599900.0
6,PETROBRAS   ,PETR3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",0.091,88228000000.0,25800000000.0,8.47,4.85,-3.42,0.39,4.23,-8.37,1.51,-0.66,34.14,1.38,-0.18,0.102,18.99,965430000000.0,151644000000.0,-0.004,75417000000.0,1.81,448929000000.0,373512000000.0,0.008,0.28,1.08,-44629000000.0,-1546000000.0,0.441,0.327,-0.169,32.24,10.94,13044500000.0,-0.096,0.953,-0.002,0.515,0.277,-0.089,-0.008,0.0,-0.017,-0.008,247736000000.0,28.63,269725000000.0,70730000000.0,746976000000.0,373464000000.0
7,PETROBRAS   ,PETR4,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",0.091,88228000000.0,25800000000.0,8.4,4.81,-3.42,0.38,4.17,-8.25,1.49,-0.65,33.64,1.36,-0.18,0.102,18.99,965430000000.0,151644000000.0,-0.004,75417000000.0,1.81,448929000000.0,373512000000.0,0.0,0.28,1.08,-44629000000.0,-1546000000.0,0.441,0.327,-0.169,31.12,11.29,13044500000.0,-0.06,1.162,0.083,0.459,0.369,-0.061,-0.005,0.004,-0.017,-0.005,247736000000.0,28.21,269725000000.0,70730000000.0,741497000000.0,367985000000.0
8,PETROBRAS BR,BRDT3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",0.048,1327000000.0,703000000.0,22.53,15.94,0.73,0.9,18.9,29.41,2.61,-5.48,3.37,0.31,0.089,0.062,8.25,27763000000.0,13571000000.0,-0.078,4476000000.0,0.97,9291000000.0,4815000000.0,0.043,2.93,2.21,853000000.0,335000000.0,0.057,0.016,0.01,29.91,13.22,1165000000.0,-0.232,0.0,0.069,0.591,0.305,-0.235,-0.027,-0.047,-0.01,-0.027,9615000000.0,21.53,81355000000.0,21137000000.0,29897400000.0,25082400000.0
9,PETRORIO,PRIO3,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",0.017,121704000.0,79518000.0,104.27,14.03,3.84,1.46,84.93,18.44,4.07,-3.61,-25.85,6.53,0.221,0.019,17.41,7055430000.0,1650430000.0,0.548,456594000.0,1.11,2810910000.0,2354320000.0,0.0,0.22,0.81,560665000.0,-110599000.0,0.308,0.077,0.354,79.48,10.35,145966000.0,0.645,0.896,2.752,0.213,2.333,1.123,0.009,0.248,-0.037,0.009,2541810000.0,70.81,1581790000.0,488695000.0,12690200000.0,10335900000.0
